issue,implemented_behavior,audit_or_sensitivity_status,interpretation
Canonical nucleotides,"A/U/G/C plus RA/RU/RG/RC/ADE/URI/GUA/CYT aliases are mapped to canonical tokens",Audited in manifest,"Modified nucleotides outside the explicit whitelist are not silently canonicalized"
Modified nucleotides,"Non-whitelisted residue names are retained only as manifest flags and are not used as canonical RNA tokens",Risk flagged,"No chemistry-aware modified-nucleotide mapping is claimed"
Water,"HOH/WAT/H2O are excluded from ligand candidates",Implemented,"Water cannot become the selected ligand"
Explicit ions,"NA/K/MG/MN/ZN/CA/CL/BR/IOD are excluded from ligand candidates",Implemented,"The list is explicit rather than CCD-category based"
Cofactors,"No semantic CCD cofactor filter was applied in Contact500",Boundary disclosed,"A cofactor satisfying geometric and size rules may be selected"
Crystallization additives,"No semantic CCD additive filter was applied in Contact500",Boundary disclosed,"An additive satisfying geometric and size rules may be selected"
Covalent or linked ligands,"No definitive covalent annotation filter was used; PDB LINK records involving the selected ligand are reported",Risk flagged plus conservative-QC sensitivity subset,"LINK is a broad linked/covalent-risk flag and is not equivalent to a confirmed covalent bond"
Alternate conformations,"Blank/A/1 alternate locations are retained; other alternate-location identifiers are discarded",Implemented and audited,"The conservative-QC subset excludes structures with any alternate-location record"
Missing atoms,"No coordinates are imputed",Implemented,"Samples failing RDKit construction or atom-count consistency are rejected"
Hydrogen and deuterium,"Hydrogen and deuterium atoms are discarded",Implemented,"Contacts are heavy-atom contacts"
Multiple structural models,"Only the first structural model is used",Implemented,"Relevant mainly to NMR ensembles"
Multiple ligand candidates,"Candidates are sorted by heavy-atom count and the largest valid candidate is selected",Implemented,"At most one ligand residue is retained per PDB entry"
Repeated ligand copies,"Other residues with the same selected residue name are counted in the audit but not added as separate samples",Audited,"186 complexes contain multiple same-residue-name copies"
Ligand size,"Candidates must contain 4--128 heavy atoms",Implemented,"Defines the chemical-size scope of Contact500"
RNA proximity,"Ligand candidates must occur within 6 A of RNA",Implemented,"Removes distant hetero residues before contact-map construction"
Contact definition,"C_ij=1 when any heavy atom of nucleotide i is within the selected cutoff of ligand atom j",Implemented,"Primary cutoff is 4.0 A; 3.5/4.5/5.0 A sensitivity sets are also evaluated"
Positive-contact requirement,"At least one nucleotide-atom contact is required",Implemented,"484 of 486 metadata-resolved complexes remain"
Resolution,"The original set was not hard-filtered by resolution; resolution is recorded",Audited plus conservative-QC sensitivity subset,"The conservative subset retains X-ray structures at <=4.0 A and solution NMR structures"
